Tid	Kanal A
(s)	(V)

-1.70468008	1.29902800
-1.70434674	1.29902800
-1.70401341	1.29902800
-1.70368007	1.29902800
-1.70334674	1.29902800
-1.70301340	1.29902800
-1.70268006	1.29902800
-1.70234673	1.29902800
-1.70201339	1.29902800
-1.70168006	1.29902800
-1.70134672	1.29902800
-1.70101338	1.29902800
-1.70068005	1.29902800
-1.70034671	1.29902800
-1.70001338	1.29902800
-1.69968004	1.29902800
-1.69934670	1.29902800
-1.69901337	1.29902800
-1.69868003	1.29902800
-1.69834670	1.29902800
-1.69801336	1.29902800
-1.69768002	1.29902800
-1.69734669	1.29902800
-1.69701335	1.29902800
-1.69668002	1.29902800
-1.69634668	1.29902800
-1.69601334	1.29902800
-1.69568001	1.29902800
-1.69534667	1.29902800
-1.69501334	1.29902800
-1.69468000	1.29902800
-1.69434666	1.29902800
-1.69401333	1.29902800
-1.69367999	1.29902800
-1.69334666	1.29902800
-1.69301332	1.29902800
-1.69267998	1.29902800
-1.69234665	1.29902800
-1.69201331	1.29902800
-1.69167998	1.29902800
-1.69134664	1.29902800
-1.69101330	1.29902800
-1.69067997	1.29902800
-1.69034663	1.29902800
-1.69001330	1.29902800
-1.68967996	1.29902800
-1.68934663	1.29902800
-1.68901329	1.29902800
-1.68867995	1.31754400
-1.68834662	1.29902800
-1.68801328	1.31754400
-1.68767995	1.31754400
-1.68734661	1.31754400
-1.68701327	1.31754400
-1.68667994	1.31754400
-1.68634660	1.31754400
-1.68601327	1.31754400
-1.68567993	1.31754400
-1.68534659	1.31754400
-1.68501326	1.31754400
-1.68467992	1.29902800
-1.68434659	1.31754400
-1.68401325	1.29902800
-1.68367991	1.29902800
-1.68334658	1.29902800
-1.68301324	1.29902800
-1.68267991	1.29902800
-1.68234657	1.31754400
-1.68201323	1.29902800
-1.68167990	1.29902800
-1.68134656	1.29902800
-1.68101323	1.29902800
-1.68067989	1.29902800
-1.68034655	1.29902800
-1.68001322	1.29902800
-1.67967988	1.29902800
-1.67934655	1.29902800
-1.67901321	1.29902800
-1.67867987	1.29902800
-1.67834654	1.29902800
-1.67801320	1.29902800
-1.67767987	1.29902800
-1.67734653	1.29902800
-1.67701319	1.29902800
-1.67667986	1.29902800
-1.67634652	1.29902800
-1.67601319	1.29902800
-1.67567985	1.29902800
-1.67534651	1.29902800
-1.67501318	1.29902800
-1.67467984	1.29902800
-1.67434651	1.29902800
-1.67401317	1.29902800
-1.67367983	1.29902800
-1.67334650	1.29902800
-1.67301316	1.29902800
-1.67267983	1.29902800
-1.67234649	1.29902800
-1.67201315	1.29902800
-1.67167982	1.29902800
-1.67134648	1.29902800
-1.67101315	1.29902800
-1.67067981	1.29902800
-1.67034647	1.29902800
-1.67001314	1.29902800
-1.66967980	1.29902800
-1.66934647	1.29902800
-1.66901313	1.29902800
-1.66867979	1.29902800
-1.66834646	1.29902800
-1.66801312	1.29902800
-1.66767979	1.29902800
-1.66734645	1.29902800
-1.66701311	1.29902800
-1.66667978	1.29902800
-1.66634644	1.29902800
-1.66601311	1.29902800
-1.66567977	1.29902800
-1.66534643	1.29902800
-1.66501310	1.29902800
-1.66467976	1.29902800
-1.66434643	1.29902800
-1.66401309	1.29902800
-1.66367975	1.29902800
-1.66334642	1.29902800
-1.66301308	1.28045000
-1.66267975	1.28045000
-1.66234641	1.28045000
-1.66201307	1.28045000
-1.66167974	1.28045000
-1.66134640	1.28045000
-1.66101307	1.28045000
-1.66067973	1.28045000
-1.66034639	1.29902800
-1.66001306	1.28045000
-1.65967972	1.29902800
-1.65934639	1.28045000
-1.65901305	1.28045000
-1.65867972	1.28045000
-1.65834638	1.28045000
-1.65801304	1.28045000
-1.65767971	1.28045000
-1.65734637	1.28045000
-1.65701304	1.28045000
-1.65667970	1.28045000
-1.65634636	1.28045000
-1.65601303	1.28045000
-1.65567969	1.28045000
-1.65534636	1.28045000
-1.65501302	1.28045000
-1.65467968	1.28045000
-1.65434635	1.28045000
-1.65401301	1.28045000
-1.65367968	1.28045000
-1.65334634	1.28045000
-1.65301300	1.28045000
-1.65267967	1.28045000
-1.65234633	1.28045000
-1.65201300	1.28045000
-1.65167966	1.28045000
-1.65134632	1.28045000
-1.65101299	1.28045000
-1.65067965	1.28045000
-1.65034632	1.28045000
